mmin,mmax,mstep,minwindowsize,ntests,eegchannel,stimlvl,method,tp,fp,tn,fn
190,240,51,50,2,Cz,50dB,cgst,0.0454545454545455,0.170454545454545,0.875,0.988636363636364
191,240,50,49,2,Cz,50dB,cgst,0.0340909090909091,0.181818181818182,0.886363636363636,0.988636363636364
192,240,49,48,2,Cz,50dB,cgst,0.0454545454545455,0.170454545454545,0.875,0.977272727272727
193,240,48,47,2,Cz,50dB,cgst,0.0454545454545455,0.170454545454545,0.863636363636364,0.977272727272727
194,240,47,46,2,Cz,50dB,cgst,0.0340909090909091,0.159090909090909,0.886363636363636,0.977272727272727
195,240,46,45,2,Cz,50dB,cgst,0.0454545454545455,0.147727272727273,0.886363636363636,0.977272727272727
196,240,45,44,2,Cz,50dB,cgst,0.0454545454545455,0.147727272727273,0.909090909090909,0.977272727272727
197,240,44,43,2,Cz,50dB,cgst,0.0340909090909091,0.125,0.909090909090909,0.988636363636364
198,240,43,42,2,Cz,50dB,cgst,0.0568181818181818,0.125,0.909090909090909,0.977272727272727
199,240,42,41,2,Cz,50dB,cgst,0.0454545454545455,0.147727272727273,0.931818181818182,0.988636363636364
200,240,41,40,2,Cz,50dB,cgst,0.0454545454545455,0.147727272727273,0.954545454545455,0.988636363636364
201,240,40,39,2,Cz,50dB,cgst,0.0340909090909091,0.159090909090909,0.943181818181818,0.988636363636364
202,240,39,38,2,Cz,50dB,cgst,0.0340909090909091,0.136363636363636,0.931818181818182,0.988636363636364
203,240,38,37,2,Cz,50dB,cgst,0.0113636363636364,0.147727272727273,0.931818181818182,0.988636363636364
204,240,37,36,2,Cz,50dB,cgst,0.0340909090909091,0.125,0.943181818181818,0.988636363636364
205,240,36,35,2,Cz,50dB,cgst,0.0340909090909091,0.147727272727273,0.931818181818182,0.988636363636364
206,240,35,34,2,Cz,50dB,cgst,0.0340909090909091,0.125,0.920454545454545,1
207,240,34,33,2,Cz,50dB,cgst,0.0227272727272727,0.125,0.920454545454545,1
